EbN0_dB BER_QAM4 ERR_QAM4 BITS_QAM4 BER_QAM16 ERR_QAM16 BITS_QAM16 BER_QAM64 ERR_QAM64 BITS_QAM64
0 0.07859 15718 200000 0.140657 56263 400000 0.199567 119740 600000
2 0.03803 7606 200000 0.0979 39160 400000 0.156188 93713 600000
4 0.012715 2543 200000 0.0586 23440 400000 0.11829 70974 600000
6 0.002405 481 200000 0.0278175 11127 400000 0.0836267 50176 600000
8 0.000181667 109 600000 0.0090575 3623 400000 0.05221 31326 600000
10 4.1e-06 41 10000000 0.001715 686 400000 0.02649 15894 600000
12 0 0 10000000 0.00015625 125 800000 0.00974167 5845 600000
14 0 0 10000000 2.6e-06 26 10000000 0.0022 1320 600000
16 0 0 10000000 0 0 10000000 0.00023 138 600000
18 0 0 10000000 0 0 10000000 5.68627e-06 58 10200000
20 0 0 10000000 0 0 10000000 9.80392e-08 1 10200000
